	tokenized	POS	lex
AR-130-90095	['تطورت', 'الأمارات', 'العربية', 'المتحدة', 'كثيرا', 'في', 'جميع', 'المجالات', 'المتواجدة', 'من', 'ها', 'المجال', 'المعماري،']	['verb', 'noun_prop', 'adj', 'adj', 'adv', 'prep', 'noun', 'noun', 'noun', 'prep', 'pron_dem', 'noun', 'noun_prop']	['تَطَوَّر', 'إِمارَة', 'عَرَبِيّ', 'مُتَّحِد', 'كَثِير', 'فِي', 'جَمِيع', 'مَجال', 'مُتَواجِد', 'مِن', 'ها', 'مَجال', 'المعماري،']
AR-130-90095	['التعليم', 'و', 'التعزيز', 'عن', 'المسامحة', 'و', 'النفط', 'و', 'الكثير', 'غيرها', '.']	['noun', 'conj', 'noun', 'prep', 'noun', 'conj', 'noun', 'conj', 'noun', 'noun', 'punc']	['تَعْلِيم', 'وَ', 'تَعْزِيز', 'عَن', 'مُسامَحَة', 'وَ', 'نَفْط', 'وَ', 'كَثِير', 'غَيْر', '.']
AR-130-90095	['ساهمت', 'مجتمعات', 'كثيرة', 'من', 'الناس', 'أيضا', 'في', 'تغير', 'الأمارات', 'العربية', 'المتحدة', 'إلى', 'مكان', 'أفضل', 'و', 'مجتمع', 'محب', 'و', 'متعاون', 'يحث', 'على', 'التسامح', 'بين', 'الشعوب', 'و', 'الدول', '.']	['verb', 'noun', 'noun', 'prep', 'noun', 'noun', 'prep', 'verb', 'noun_prop', 'adj', 'adj', 'prep', 'noun', 'adj', 'conj', 'noun', 'noun', 'conj', 'adj', 'verb', 'prep', 'noun', 'noun', 'noun', 'conj', 'noun', 'punc']	['ساهَم', 'مُجْتَمَع', 'كَثِير', 'مِن', 'ناس', 'أَيْض', 'فِي', 'غَيَّر', 'إِمارَة', 'عَرَبِيّ', 'مُتَّحِد', 'إِلَى', 'مَكان', 'أَفْضَل', 'وَ', 'مُجْتَمَع', 'مُحِبّ', 'وَ', 'مُتَعاوِن', 'حَثّ', 'عَلَى', 'تَسامُح', 'بَيِّن', 'شَعْب', 'وَ', 'دَوْلَة', '.']
AR-130-90095	['تطور', 'الأمارات', 'زاد', 'من', 'عدد', 'السواح', 'من', 'جميع', 'دول', 'العالم', 'ل', 'أن', 'نا', 'في', 'بلد', 'مسالم', 'و', 'نسبة', 'الأمان', 'عالية', 'جدا', 'حيث', 'ليس', 'هناك', 'أي', 'سبب', 'ل', 'الخوف', 'سواء', 'كان', 'على', 'الأطفال', 'أو', 'كبار', 'السن', '.']	['noun', 'noun_prop', 'verb', 'prep', 'noun', 'noun', 'prep', 'noun', 'noun', 'noun', 'prep', 'conj_sub', 'noun_prop', 'prep', 'noun', 'noun_prop', 'conj', 'noun', 'noun', 'noun', 'noun', 'conj', 'verb', 'adv', 'pron_interrog', 'noun', 'prep', 'noun', 'noun', 'verb', 'prep', 'noun', 'conj', 'noun', 'noun', 'punc']	['تَطَوُّر', 'إِمارَة', 'زاد', 'مِن', 'عَدَد', 'سَوّاح', 'مِن', 'جَمِيع', 'دَوْلَة', 'عالَم', 'لِ', 'أَنَّ', 'نا', 'فِي', 'بَلَد', 'مسالم', 'وَ', 'نِسْبَة', 'أَمان', 'عالِي', 'جِدّ', 'حَيْثُ', 'لَيِس', 'هُناكَ', 'أَيّ', 'سَبَب', 'لِ', 'خَوْف', 'سَواء', 'كان', 'عَلَى', 'طِفْل', 'أَو', 'كَبِير', 'سِنّ', '.']
AR-130-119831	[',الانسان', 'في', 'عديدين', 'من', 'ناس', 'كان', 'ثقافة', 'هم', 'سيئ', 'n', 'ماكانو', 'منضمين', 'مع', 'مجتمع', 'و', 'في', 'ب', 'عض', 'هم', 'مع', 'ناس.حياه', 'n', 'هي', 'أصلان', 'حيات', 'الإنسان', 'كيف', 'يعيش', 'على', 'الأرض', 'هدآ', 'و', 'أحب', 'علين', 'أن', 'إ', 'كو', 'ن', 'يف', 'نتعامل', 'مع', 'هم']	['noun_prop', 'prep', 'adj', 'prep', 'noun', 'verb', 'noun', 'pron', 'noun', 'noun', 'noun_prop', 'adj', 'prep', 'noun', 'conj', 'prep', 'abbrev', 'verb', 'pron', 'prep', 'noun_prop', 'noun', 'pron', 'noun', 'noun', 'noun', 'adv_rel', 'verb', 'prep', 'noun', 'verb', 'conj', 'verb', 'noun_prop', 'conj_sub', 'abbrev', 'noun_prop', 'abbrev', 'noun_prop', 'verb', 'prep', 'pron']	[',الانسان', 'فِي', 'عَدِيد', 'مِن', 'ناس', 'كان', 'ثَقافَة', 'هُم', 'سَيِّء', 'n', 'ماكانو', 'مُنْضَمّ', 'مَع', 'مُجْتَمَع', 'وَ', 'فِي', 'بِ', 'عَضّ', 'هُم', 'مَع', 'ناس.حياه', 'n', 'هِيَ', 'أَصْل', 'حَيَّة', 'إِنْسان', 'كَيْفَ', 'عاش', 'عَلَى', 'أَرْض', 'هَدَأ', 'وَ', 'أَحَبّ', 'علين', 'أَنَّ', 'أَ', 'كو', 'ن', 'يف', 'تَعامَل', 'مَع', 'هُم']
AR-130-83576	['في', 'السنسن', 'الماضية', 'التي', 'مرت', 'مع', 'تطور', 'البشرية', 'و', 'العلم', 'كذلك،']	['prep', 'noun_prop', 'adj', 'pron_rel', 'verb', 'prep', 'noun', 'adj', 'conj', 'noun', 'noun_prop']	['فِي', 'السنسن', 'ماضِي', 'الَّذِي', 'مَرّ', 'مَع', 'تَطَوُّر', 'بَشَرِيّ', 'وَ', 'عِلْم', 'كذلك،']
AR-130-83576	['أخترع', 'أحد', 'العلماء', 'الكهرباء', 'بعد', 'محاولات', 'عديدة،']	['verb', 'noun', 'noun', 'noun', 'noun', 'noun', 'noun_prop']	['ٱِخْتَرَع', 'أَحَد', 'عالِم', 'كَهْرَباء', 'بُعْد', 'مُحاوَلَة', 'عديده،']
AR-130-83576	['و', 'في', 'العصر', 'الحديث', 'معظم', 'هذه', 'الاختراعات', 'و', 'الابتكارات', 'كانت', 'متفرعة', 'من', 'الكهرباء،']	['conj', 'prep', 'noun', 'noun', 'noun', 'pron_dem', 'noun', 'conj', 'noun', 'verb', 'adj', 'prep', 'noun_prop']	['وَ', 'فِي', 'عَصْر', 'حَدِيث', 'مُعْظَم', 'هٰذا', 'ٱِخْتِراع', 'وَ', 'ٱِبْتِكار', 'كان', 'مُتَفَرِّع', 'مِن', 'الكهرباء،']
AR-130-83576	['و', 'لكن', 'منذ', 'ذلك', 'الوقت', 'و', 'البشرية', 'n', 'لاتزال', 'تتطورو', 'تحاول', 'توسيع', 'مجال', 'العلوم', 'و', 'تسهيل', 'طرق', 'العيش', 'ب', 'أمان', 'و', 'الراحه،']	['conj', 'conj', 'conj', 'pron_dem', 'noun', 'conj', 'adj', 'noun', 'verb', 'noun_prop', 'verb', 'noun', 'noun', 'noun', 'conj', 'noun', 'noun', 'noun', 'abbrev', 'noun', 'conj', 'noun_prop']	['وَ', 'لٰكِنَّ', 'مُنْذُ', 'ذٰلِكَ', 'وَقْت', 'وَ', 'بَشَرِيّ', 'n', 'زال', 'تتطورو', 'حاوَل', 'تَوْسِيع', 'مَجال', 'عِلْم', 'وَ', 'تَسْهِيل', 'طَرِيق', 'عَيْش', 'بِ', 'أَمان', 'وَ', 'الراحه،']
AR-130-83576	['و', 'في', 'وقت', 'نا', 'الحالي', 'ظهرت', 'الحواسب', 'و', 'ك', 'ذلك', 'الهواتف', 'النقاله،']	['conj', 'prep', 'noun', 'noun_prop', 'adj', 'verb', 'noun_prop', 'conj', 'abbrev', 'pron_dem', 'noun', 'noun_prop']	['وَ', 'فِي', 'وَقْت', 'نا', 'حالِيّ', 'ظَهَر', 'الحواسب', 'وَ', 'كَ', 'ذٰلِكَ', 'هاتِف', 'النقاله،']
AR-130-83576	['و', 'من', 'طبيعة', 'البشر', 'هي', 'أن', 'ها', 'مخلوقات', 'اجتماعي', 'ه', 'و', 'تحب', 'التواصل', 'مع', 'ب', 'عض', 'ها', 'البعض،']	['conj', 'prep', 'noun', 'noun', 'pron', 'conj_sub', 'pron_dem', 'noun', 'adj', 'abbrev', 'conj', 'verb', 'noun', 'prep', 'abbrev', 'verb', 'pron_dem', 'noun_prop']	['وَ', 'مِن', 'طَبِيعَة', 'بَشَر', 'هِيَ', 'أَنَّ', 'ها', 'مَخْلُوق', 'ٱِجْتِماعِيّ', 'ه', 'وَ', 'أَحَبّ', 'تَواصُل', 'مَع', 'بِ', 'عَضّ', 'ها', 'البعض،']
AR-130-83576	['و', 'بما', 'أن', 'التكنولوجيا', 'الحديثة', 'متوفرة', 'قاموا', 'ب', 'اختراع', 'مواقع', 'التواصل', 'الاجتماعي', 'ل', 'تسهيل', 'التواصل', 'بين', 'الناس', 'في', 'غضون', 'ثواني', 'معدودة،']	['conj', 'pron_rel', 'conj_sub', 'noun', 'adj', 'adj', 'verb', 'abbrev', 'noun', 'noun', 'noun', 'adj', 'prep', 'noun', 'noun', 'noun', 'noun', 'prep', 'noun', 'noun', 'noun_prop']	['وَ', 'ما', 'أَنَّ', 'تِكْنُولُوجِيا', 'حَدِيث', 'مُتَوَفِّر', 'قام', 'بِ', 'ٱِخْتِراع', 'مَوْقِع', 'تَواصُل', 'ٱِجْتِماعِيّ', 'لِ', 'تَسْهِيل', 'تَواصُل', 'بَيِّن', 'ناس', 'فِي', 'غُضُون', 'ثانِيَة', 'معدوده،']
AR-130-83576	['و', 'لكن', 'ل', 'كل', 'شي', 'يوجد', 'منافع', 'و', 'مضار،']	['conj', 'conj', 'prep', 'noun', 'noun', 'verb', 'noun', 'conj', 'noun_prop']	['وَ', 'لٰكِنَّ', 'لِ', 'كُلّ', 'شَيّ', 'وَجَد', 'مَنْفَعَة', 'وَ', 'مضار،']
AR-130-83576	['المنافع', 'هي', 'سرعة', 'التواصل', 'و', 'إتاحة', 'المجال', 'ل', 'التعرف', 'على', 'أناس', 'من', 'الجانب', 'الآخر،']	['noun', 'pron', 'noun', 'noun', 'conj', 'noun', 'noun', 'prep', 'noun', 'prep', 'noun', 'prep', 'noun', 'noun_prop']	['مَنْفَعَة', 'هِيَ', 'سُرْعَة', 'تَواصُل', 'وَ', 'إِتاحَة', 'مَجال', 'لِ', 'تَعَرُّف', 'عَلَى', 'إِنْسان', 'مِن', 'جانِب', 'الاخر،']
